Testimonials,Témoignages
"Add New Testimonial","Ajouter un nouveau témoignage"
"Save Testimonial","Enregistrer le témoignage"
"Delete Testimonial","Supprimer le témoignage"
"Edit Testimonial '%1'","Modifier Le témoignage '%1'"
"New Testimonial","Nouveau témoignage"
"Testimonial Information","Informations sur les témoignages"
Facebook,Facebook
Twitter,Twitter
"No rating","Aucune note"
star,étoile
stars,Étoiles
"Profile Image","Image de profil"
"Display in widget","Afficher en widget"
"Created date","Date créée"
"Submit Your Testimonial","Soumettez votre témoignage"
"Please select item(s).","S’il vous plaît sélectionner l’article(s)."
"Testimonial was deleted.","Le témoignage a été supprimé."
"Can't find a testimonial to delete.","Impossible de trouver un témoignage à supprimer."
"Manage Testimonials","Gérer les témoignages"
"This testimonial no longer exists.","Ce témoignage n’existe plus."
"Edit Testimonial","Modifier le témoignage"
"Testimonial has been saved.","Le témoignage a été sauvé."
"Something went wrong while saving the testimonial.","Quelque chose s’est mal passé en sauvant le témoignage."
"Awaiting approval","En attente d’approbation"
"Submit your testimonial","Soumettez votre témoignage"
"Profile image","Image de profil"
"Back to testimonials","Retour aux témoignages"
"Find us on","Retrouvez-nous sur"
"Placed on","Placé sur"
"No testimonials found.","Aucun témoignage trouvé."
"Show more testimonials","Afficher plus de témoignages"
"Read more","Lire la suite"
"Read less","Lire moins"
"View all testimonials","Voir tous les témoignages"
"Store Review","Examen du magasin"
"out of","hors de"
votes,Votes
"Testimonial data:","Données de témoignage :"
"User Name:","Nom de l’utilisateur:"
"User Email:","E-mail utilisateur:"
"Store View:","Voir le magasin:"
Message:,Message:
Company:,Société:
Website:,"site internet:"
Facebook:,Facebook:
Twitter:,Twitter:
Rating:,Évaluation:
"Has image:","A l’image:"
Status:,Statut:
"Automatically approve testimonials","Approuvez automatiquement les témoignages"
"Add link to top links","Ajouter le lien vers les liens supérieurs"
"Add link to footer links","Ajouter un lien vers des liens de pied"
"Testimonials List","Liste des témoignages"
"Testimonials list layout","Mise en page de la liste des témoignages"
"Testimonials per page","Témoignages par page"
"Image width","Largeur d’image"
"Image height","Hauteur d’image"
"Image placeholder","Place d’image"
"Allowed file types:PNG, GIF, JPG, JPEG, SVG.","Types de fichiers autorisés : PNG, GIF, JPG, JPEG, SVG."
"Show user email in testimonials list","Afficher l’e-mail de l’utilisateur dans la liste des témoignages"
"Testimonials Submit Form","Témoignages Soumettre un formulaire"
"Testimonials form layout","Les témoignages forment la mise en page"
"Enable company field","Activer le champ de l’entreprise"
"Enable website field","Activer le champ du site Web"
"Enable twitter field","Activez le champ twitter"
"Enable facebook field","Activez le champ facebook"
"Message shown after testimonial sent","Message montré après le témoignage envoyé"
"Administrator Email Notifications","Notifications par courriel de l’administrateur"
"Email notification for admin on new testimonial","Notification par e-mail pour admin sur le nouveau témoignage"
"Send email from","Envoyer des courriels à partir de"
"Administrator email","Courriel de l’administrateur"
"Administrator email subject","Sujet de messagerie de l’administrateur"
"Administrator email template","Modèle de messagerie de l’administrateur"
"Testimonials: List of testimonials (for side panel)","Témoignages: Liste des témoignages (pour panneau latéral)"
"Hide block title and link","Masquer le titre et le lien du bloc"
"Number of testimonials","Nombre de témoignages"
"Show next testimonial after, ms","Afficher le prochain témoignage après, ms"
"Change animation duration, ms","Modifier la durée de l’animation, ms"
"Testimonials: Review block (for side panel)","Témoignages: Bloc d’examen (pour panneau latéral)"
"Testimonials: Submit Form","Témoignages: Soumettre le formulaire"
"Testimonials: Full testimonials list","Témoignages: Liste complète des témoignages"
"Delete items","Supprimer les éléments"
"Enable items","Activer les articles"
"Disable items","Articles désactivants"
"Created Date","Date créée"
"What Clients Say","Ce que disent les clients"
